2026-03-10T17:32:07.141+00:00 [SEARCHING_LINE] fsm initialized
2026-03-10T17:32:13.158+00:00 [FOLLOWING_LINE] SEARCHING_LINE --ON_LINE_FOUND--> FOLLOWING_LINE | line detected; vision_live
2026-03-10T17:33:48.091+00:00 [VALIDATING_GAP] FOLLOWING_LINE --ON_GAP--> VALIDATING_GAP | possible gap detected; line_gap_suspected
2026-03-10T17:33:48.150+00:00 [FOLLOWING_LINE] VALIDATING_GAP --ON_LINE_FOUND--> FOLLOWING_LINE | false positive gap; vision_live
2026-03-10T17:33:48.668+00:00 [VALIDATING_GAP] FOLLOWING_LINE --ON_GAP--> VALIDATING_GAP | possible gap detected; line_gap_suspected
2026-03-10T17:33:48.692+00:00 [FOLLOWING_LINE] VALIDATING_GAP --ON_LINE_FOUND--> FOLLOWING_LINE | false positive gap; vision_live
2026-03-10T17:33:48.878+00:00 [VALIDATING_GAP] FOLLOWING_LINE --ON_GAP--> VALIDATING_GAP | possible gap detected; line_gap_suspected
2026-03-10T17:33:48.936+00:00 [SEARCHING_LINE] VALIDATING_GAP --ON_LINE_LOST--> SEARCHING_LINE | line not recovered during validation; line_lost_streak
2026-03-10T17:33:48.963+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:48.985+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.010+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.052+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.088+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.128+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.171+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.187+00:00 [FOLLOWING_LINE] SEARCHING_LINE --ON_LINE_FOUND--> FOLLOWING_LINE | line detected; vision_live
2026-03-10T17:33:49.334+00:00 [VALIDATING_GAP] FOLLOWING_LINE --ON_GAP--> VALIDATING_GAP | possible gap detected; line_gap_suspected
2026-03-10T17:33:49.404+00:00 [SEARCHING_LINE] VALIDATING_GAP --ON_LINE_LOST--> SEARCHING_LINE | line not recovered during validation; line_lost_streak
2026-03-10T17:33:49.439+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.470+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.507+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.526+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.563+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.616+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.635+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.667+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.708+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.737+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.759+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.776+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.807+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.843+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.874+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.912+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.952+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:49.989+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.016+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.059+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.089+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.107+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.151+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.197+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.238+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.265+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.280+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.301+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.373+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.398+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.416+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.455+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.477+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.539+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.564+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.603+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.641+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.683+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.717+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.760+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.783+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.828+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.854+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.889+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.911+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.955+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:50.998+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:51.023+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:51.053+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:51.100+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:51.135+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:51.160+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:51.186+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:51.219+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:51.249+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:51.292+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:51.322+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:51.371+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
2026-03-10T17:33:51.404+00:00 [SEARCHING_LINE] SEARCHING_LINE --ON_LINE_LOST--> SEARCHING_LINE | still searching for line; line_lost_streak
